FLaSHLogNumber,Project,Date,Station,Species,SerialNumber,PreyType,PreyConversion,MacroCategory,PreyLengthSpecies,PreyLength,Estimate,PreyWeight
558,SKT,3/6/2012 0:00,801,delta smelt,4586,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
558,SKT,3/6/2012 0:00,801,delta smelt,4586,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.1,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.2,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.2,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.2,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.2,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.2,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.2,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.2,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.2,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.2,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.2,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1.5,G,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
559,SKT,3/6/2012 0:00,804,delta smelt,4580,Corophium,Corophiidae,amphipod,juvenile Corophium,1,,
